student_id,attendance,internal_marks,assignment_marks,previous_marks,study_hours,performance_score,performance_category
STU075,24.2,37.8,14.3,20.0,2.7,24.6,Low
STU076,82.0,69.1,63.4,82.4,5.9,71.9,Medium
STU077,70.1,65.8,51.1,55.6,3.6,58.3,Medium
STU078,57.2,58.5,72.0,55.3,4.4,58.1,Medium
STU079,68.9,85.9,69.6,59.2,7.2,70.5,Medium
STU080,38.1,42.1,46.4,37.7,3.5,39.8,Low
STU081,65.4,56.0,63.7,72.5,4.6,61.4,Medium
STU082,78.1,57.2,54.3,59.4,5.4,61.1,Medium
STU083,100.0,67.1,73.9,75.9,7.0,77.6,High
STU084,48.1,54.6,57.9,57.8,7.0,54.6,Medium
STU085,78.1,43.0,38.8,51.1,4.6,52.1,Medium
STU086,41.2,41.8,60.1,63.7,5.1,49.8,Low
STU087,77.0,67.2,69.4,75.3,7.9,71.6,Medium
STU088,77.0,55.8,60.8,60.2,6.1,62.5,Medium
STU089,63.1,66.3,59.7,54.5,4.2,58.7,Medium
STU090,67.2,74.0,70.5,73.2,5.8,68.9,Medium
STU091,66.1,61.2,58.0,65.1,5.4,60.9,Medium
STU092,74.3,84.9,82.6,75.5,6.7,77.0,High
STU093,52.3,51.1,41.4,55.4,5.2,49.5,Low
STU094,71.4,48.7,61.4,61.5,4.9,58.7,Medium
STU095,65.6,66.9,60.4,62.0,5.6,62.3,Medium
STU096,41.6,44.6,38.8,41.5,3.1,40.2,Low
STU097,79.7,55.7,66.7,61.1,5.8,64.2,Medium
STU098,73.4,62.0,52.0,62.8,3.3,59.6,Medium
STU099,75.2,53.1,68.4,66.5,6.4,64.4,Medium
STU100,70.3,45.8,55.4,48.9,5.4,54.4,Medium
STU101,40.9,48.3,37.5,40.2,4.5,41.6,Low
STU102,56.1,69.6,64.1,49.2,1.2,55.1,Medium
STU103,70.2,44.2,49.3,53.3,7.3,55.2,Medium
STU104,63.0,53.7,37.2,55.4,4.0,51.0,Medium
STU105,64.8,52.6,44.0,57.0,6.4,54.9,Medium
STU106,73.3,61.6,70.5,64.1,4.6,64.5,Medium
STU107,100.0,80.7,72.2,75.6,8.8,82.1,High
STU108,63.3,55.4,78.0,65.7,4.3,62.0,Medium
STU109,75.7,63.9,44.5,66.2,4.9,61.1,Medium
STU110,64.0,52.3,74.3,72.1,7.5,64.6,Medium
STU111,40.6,36.3,37.7,28.2,2.3,34.3,Low
STU112,77.7,59.2,58.8,59.2,5.5,62.4,Medium
STU113,76.0,58.9,55.9,60.6,6.4,62.4,Medium
STU114,100.0,82.7,91.6,100.0,9.1,91.6,High
STU115,77.6,52.8,57.2,54.6,5.2,59.3,Medium
STU116,71.0,70.1,73.7,64.3,6.2,68.0,Medium
STU117,73.4,63.5,60.6,61.8,8.1,65.5,Medium
STU118,49.2,36.4,46.6,42.5,3.5,42.1,Low
STU119,84.6,76.2,71.1,71.3,7.2,74.7,Medium
STU120,75.2,76.2,69.0,70.2,7.6,72.0,Medium
STU121,77.9,57.3,72.7,76.9,7.8,70.2,Medium
STU122,61.5,52.1,33.2,37.7,5.4,47.1,Low
STU123,76.5,73.6,65.5,79.1,8.1,73.2,Medium
STU124,70.3,45.6,49.0,32.9,1.9,46.9,Low
STU125,64.3,61.8,68.9,74.8,8.1,67.0,Medium
STU126,82.5,75.1,85.9,78.9,7.1,78.3,High
STU127,66.1,33.6,47.7,39.8,4.2,45.9,Low
STU128,67.8,52.7,56.0,52.5,3.6,54.8,Medium
STU129,74.5,63.4,56.4,70.4,5.4,64.3,Medium
STU130,66.9,46.0,46.7,50.3,5.0,51.8,Medium
STU131,47.3,44.2,42.2,31.8,3.5,40.6,Low
STU132,58.9,47.6,52.1,72.2,5.9,56.4,Medium
STU133,54.4,45.1,50.3,32.6,5.7,46.2,Low
STU134,66.2,56.7,50.6,49.4,6.5,56.1,Medium
STU135,65.2,42.4,57.7,47.8,3.7,51.1,Medium
STU136,85.1,81.3,83.8,76.8,8.7,81.0,High
STU137,48.9,42.5,52.4,39.6,5.6,45.9,Low
STU138,59.7,52.6,64.8,58.3,3.4,55.5,Medium
STU139,81.4,79.0,85.2,71.4,7.2,77.4,High
STU140,45.9,38.8,53.6,36.3,4.4,42.8,Low
STU141,61.6,69.8,46.3,52.3,5.3,57.0,Medium
STU142,85.9,68.6,65.0,82.9,8.8,75.5,High
STU143,49.2,42.5,34.1,39.4,2.8,40.0,Low
STU144,64.3,74.0,62.6,60.0,5.7,63.8,Medium
STU145,65.6,43.7,67.9,74.7,5.5,60.4,Medium
STU146,79.2,64.2,63.3,61.8,6.4,66.2,Medium
STU147,36.9,47.9,46.1,29.5,2.2,38.2,Low
STU148,36.3,40.5,36.6,34.1,1.7,34.8,Low
STU149,66.4,70.0,61.1,65.2,8.0,66.0,Medium
STU150,68.6,59.2,51.1,64.0,4.7,58.9,Medium
STU151,73.3,64.1,54.8,59.9,4.5,61.0,Medium
STU152,86.1,63.4,52.2,65.5,3.2,63.6,Medium
STU153,67.0,60.2,42.6,39.4,3.6,51.2,Medium
STU154,68.3,65.2,72.4,71.5,4.0,65.5,Medium
STU155,70.5,66.7,55.1,61.6,7.7,64.1,Medium
STU156,48.0,47.1,74.7,55.5,5.5,54.4,Medium
STU157,90.3,81.3,87.9,87.3,7.2,83.9,High
STU158,70.1,62.9,67.6,68.0,8.7,67.6,Medium
STU159,55.2,47.1,37.3,44.8,4.8,46.0,Low
STU160,67.0,65.5,74.6,70.6,5.9,67.1,Medium
STU161,59.9,49.2,42.5,48.5,0.9,46.2,Low
STU162,92.2,87.2,71.0,78.6,9.2,82.4,High
STU163,80.5,82.6,97.6,76.1,5.3,79.9,High
STU164,60.7,46.3,48.8,51.1,2.1,48.5,Low
STU165,86.0,82.6,82.5,71.2,7.9,79.5,High
STU166,68.2,62.3,58.9,74.0,8.8,66.5,Medium
STU167,79.6,54.8,70.0,65.1,8.1,67.4,Medium
STU168,91.0,77.5,99.8,97.9,8.7,88.9,High
STU169,64.9,41.7,51.3,54.2,5.7,52.5,Medium
STU170,49.8,47.0,66.8,37.1,5.2,49.3,Low
STU171,56.0,48.1,55.2,46.1,4.9,50.4,Medium
STU172,61.7,62.4,44.7,41.5,4.5,52.0,Medium
STU173,80.5,61.6,64.7,62.8,5.3,65.4,Medium
STU174,80.9,62.9,73.1,58.3,5.7,67.0,Medium
STU175,92.0,70.4,69.1,58.9,4.8,70.2,Medium
STU176,69.7,53.5,56.3,56.7,6.2,58.6,Medium
STU177,75.9,62.1,53.6,55.0,3.3,59.0,Medium
STU178,87.1,85.8,76.1,62.0,7.3,76.9,High
STU179,85.6,44.6,56.0,43.1,3.7,55.5,Medium
STU180,86.9,99.2,93.6,95.3,7.2,90.3,High
STU181,66.5,71.2,69.5,72.5,6.4,68.2,Medium
STU182,50.2,45.1,37.2,48.6,5.7,45.7,Low
STU183,32.3,50.6,49.9,35.8,4.9,41.9,Low
STU184,67.8,84.7,71.6,64.6,4.1,68.8,Medium
STU185,56.6,58.4,62.2,54.8,3.8,55.3,Medium
STU186,77.5,71.6,78.7,60.2,7.5,71.3,Medium
STU187,76.4,62.7,73.5,75.3,4.8,68.5,Medium
STU188,84.8,52.2,63.2,63.1,4.9,63.6,Medium
STU189,65.8,55.2,48.7,44.3,4.7,52.8,Medium
STU190,42.1,32.7,26.0,36.4,2.0,32.8,Low
STU191,52.4,54.5,58.2,53.0,4.8,53.0,Medium
STU192,82.7,67.7,72.7,56.0,4.9,67.4,Medium
STU193,56.5,66.7,65.1,59.4,4.9,59.8,Medium
STU194,69.6,45.9,32.8,35.3,3.9,45.7,Low
STU195,81.0,70.6,52.5,53.5,3.6,62.1,Medium
STU196,67.2,61.1,74.3,61.6,6.4,64.6,Medium
STU197,38.7,45.9,48.5,57.9,4.0,45.8,Low
STU198,82.5,54.2,68.1,64.7,6.2,65.9,Medium
STU199,66.6,57.2,61.0,54.8,5.7,58.9,Medium
STU200,65.0,47.6,45.9,45.5,5.3,50.8,Medium
